เลขรับ	การอุทธรณ์ของจำเลย	วันรับสำเนาอุทธรณ์	วันครบแก้อุทธรณ์	วันส่งสำเนาอุทธรณ์จำเลย	วันขอขยายแก้อุทธรณ์	วันครบขอขยายแก้อุทธรณ์	วันแก้อุทธรณ์	การแก้อุทธรณ์
"470/2547"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"1539/2547"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"2725/2547"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"2898/2548"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.2722/2548"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.2794/2548"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.10/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.16/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.42/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.61/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.58/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.69/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.49/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"ว.50/2549"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"3403/2548"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"3649/2548"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"ว.12/2549"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"ว.20/2549"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"ว.21/2549"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"ว.22/2549"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"ว.24/2549"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"ว.59/2549"	"ข้อเท็จจริง"	"01/31/06 00:00:00"	"02/15/06 00:00:00"					
"429/2548"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"3500/2548"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.67/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"269/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"1677/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"2298/2548"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"2728/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"2764/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"2825/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"3192/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"3214/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"3517/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"3640/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"3766/2548"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"ว.8/2549"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"ว.27/2549"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"ว.43/2549"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"					
"2573/2546"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"220/2547"	"ข้อเท็จจริงและข้อกฎหมาย"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"1188/2547"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"1708/2547"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"1965/2547"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"2077/2547"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"2298/2547"	"ข้อเท็จจริง"	"02/17/06 00:00:00"	"03/04/06 00:00:00"	"03/10/06 00:00:00"				
"3227/2548"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"3228/2548"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"3418/2548"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"ว.38/2549"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"ว.126/2549"	"ข้อเท็จจริง"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"3483/2545"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"	"03/08/06 00:00:00"				
"1381/2547"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"					
"313/2548"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"					
"528/2548"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"					
"ว.198/2549"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"					
"ว.253/2549"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"					
"340/2549"	"ข้อเท็จจริง"	"02/27/06 00:00:00"	"03/14/06 00:00:00"					
"3123/2548"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"ว.13/2549"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"394/2547"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"2917/2546"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"3226/2548"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"3681/2548"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"ว.9/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.17/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.23/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.32/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.41/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.51/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.52/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.54/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.55/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.60/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"ว.62/2549"	"ข้อเท็จจริง"	"02/01/06 00:00:00"	"02/16/06 00:00:00"					
"3426/2548"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.1/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.2/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.4/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.25/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.26/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.28/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.29/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.31/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.33/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.36/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.39/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.56/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"ว.64/2549"	"ข้อเท็จจริง"	"02/06/06 00:00:00"	"02/21/06 00:00:00"					
"269/2547"	"ข้อเท็จจริง และข้อกฎหมาย"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"427/2548"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"2146/2548"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"2433/2548"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"2641/2548"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"3175/2548"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"3433/2548"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.11/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.14/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.15/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.19/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.34/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.46/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"ว.63/2549"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"					
"2955/2546"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"	"02/15/06 00:00:00"			"02/21/06 00:00:00"	
"ว.297/2549"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"137/2549"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"ว.298/2549"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"711/2548"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"329/2549"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"3778/2548"	"ข้อเท็จจริง"	"03/07/06 00:00:00"	"03/22/06 00:00:00"					
"3212/2546"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"					
"1875/2547"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"					
"835/2548"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"	"03/24/06 00:00:00"				
"2192/2548"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"					
"3473/2548"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"					
"336/2549"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"					
"399/2549"	"ข้อเท็จจริง"	"03/09/06 00:00:00"	"03/24/06 00:00:00"					
"145/2547"	"ข้อเท็จจริง"	"03/15/06 00:00:00"	"03/30/06 00:00:00"					
"311/2548"	"ข้อเท็จจริง"	"03/15/06 00:00:00"	"03/30/06 00:00:00"	"03/24/06 00:00:00"				
"3096/2548"	"ข้อเท็จจริง"	"03/15/06 00:00:00"	"03/30/06 00:00:00"	"03/24/06 00:00:00"				
"1580/2548"	"ข้อเท็จจริง"	"03/15/06 00:00:00"	"03/30/06 00:00:00"					
"2140/2548"	"ข้อเท็จจริง"	"03/15/06 00:00:00"	"03/30/06 00:00:00"					
"2486/2546"	"ข้อเท็จจริง"	"03/20/06 00:00:00"	"04/04/06 00:00:00"					
"351/2547"	"ข้อเท็จจริง"	"03/20/06 00:00:00"	"04/04/06 00:00:00"					
"3041/2547"	"ข้อเท็จจริง"	"03/20/06 00:00:00"	"04/04/06 00:00:00"	"03/24/06 00:00:00"				
"345/2549"	"ข้อเท็จจริง"	"03/20/06 00:00:00"	"04/04/06 00:00:00"					
"163/2549"	"ข้อเท็จจริง"	"03/20/06 00:00:00"	"04/04/06 00:00:00"					
"3194/2546"	"ข้อเท็จจริง"	"03/22/06 00:00:00"	"04/06/06 00:00:00"	"04/04/06 00:00:00"				
"23/2547"	"ข้อเท็จจริงและข้อกฎหมาย"	"03/22/06 00:00:00"	"04/06/06 00:00:00"	"04/04/06 00:00:00"				
"549/2547"	"ข้อเท็จจริง"	"03/22/06 00:00:00"	"04/06/06 00:00:00"					
"176/2549"	"ข้อเท็จจริง"	"03/22/06 00:00:00"	"04/06/06 00:00:00"					
"188/2549"	"ข้อเท็จจริง"	"03/22/06 00:00:00"	"04/06/06 00:00:00"					
"384/2547"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"	"04/04/06 00:00:00"				
"2814/2547"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"2128/2548"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"1875/2548"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"1297/2547"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"207/2549"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"234/2549"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"246/2549"	"ข้อเท็จจริง"	"03/28/06 00:00:00"	"04/12/06 00:00:00"					
"1906/2546"	"ข้อเท็จจริง"	"04/04/06 00:00:00"	"04/19/06 00:00:00"					
"208/2549"	"ข้อเท็จจริง"	"04/04/06 00:00:00"	"04/19/06 00:00:00"					
"2900/2548"	"ข้อเท็จจริง"	"04/04/06 00:00:00"	"04/19/06 00:00:00"	"04/17/06 00:00:00"				
"301/2549"	"ข้อเท็จจริง"	"04/04/06 00:00:00"	"04/19/06 00:00:00"					
"2956/2546"	"ข้อเท็จจริง"	"02/09/06 00:00:00"	"02/24/06 00:00:00"	"02/15/06 00:00:00"			"02/21/06 00:00:00"	
"2614/2548"	"ข้อเท็จจริง"	"04/04/06 00:00:00"	"04/19/06 00:00:00"					
"503/2549"	"ข้อเท็จจริง"	"04/04/06 00:00:00"	"04/19/06 00:00:00"					
"1410/2546"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"					
"771/2547"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"	"04/21/06 00:00:00"				
"3002/2548"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"	"04/21/06 00:00:00"				
"1249/2548"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"	"04/21/06 00:00:00"				
"1938/2546"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"	"04/21/06 00:00:00"				
"436/2549"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"	"04/21/06 00:00:00"				
"479/2549"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"					
"35/2549"	"ข้อเท็จจริง"	"04/12/06 00:00:00"	"04/27/06 00:00:00"					
"684/2547"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"					
"2600/2547"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"					
"342/2549"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"					
"671/2549"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"				"05/10/06 00:00:00"	
"332/2549"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"					
"749/2549"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"				"05/10/06 00:00:00"	
"524/2549"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"					
"590/2549"	"ข้อเท็จจริง"	"04/24/06 00:00:00"	"05/09/06 00:00:00"				"05/10/06 00:00:00"	
"756/2547"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"943/2547"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"1202/2548"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"2227/2548"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"ว.690/2549"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"3662/2544"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"1131/2545"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"ว.3069/2547"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"ว.644/2549"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"903/2547"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"1398/2548"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"916/2547"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"2322/2547"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/15/06 00:00:00"					
"2963/2548"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"3547/2548"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"572/2549"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"969/2549"	"ข้อเท็จจริง"	"05/04/06 00:00:00"	"05/19/06 00:00:00"					
"852/2549"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"2021/2548"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"3486/2548"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"2475/2547"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"2663/2548"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"3405/2548"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"3453/2546"	"ข้อเท็จจริงและข้อกฎหมาย"	"02/21/06 00:00:00"	"03/08/06 00:00:00"					
"687/2549"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"2696/2548"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"567/2549"	"ข้อเท็จจริง"	"05/10/06 00:00:00"	"05/25/06 00:00:00"					
"981/2547"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"2804/2548"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"1309/2546"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"1698/2548"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"727/2549"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"1547/2548"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"743/2549"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"1859/2547"	"ข้อเท็จจริง"	"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"1990/2548"		"05/18/06 00:00:00"	"06/02/06 00:00:00"					
"2205/2548"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"					
"974/2549"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"					
"3330/2548"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"					
"2693/2548"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"				"06/07/06 00:00:00"	
"900/2549"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"					
"2277/2548"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"					
"487/2549"	"ข้อเท็จจริง"	"05/29/06 00:00:00"	"06/13/06 00:00:00"					
"2467/2548"	"ข้อเท็จจริง"	"05/31/06 00:00:00"	"06/15/06 00:00:00"					
"ว.460/2549"	"ข้อเท็จจริง"	"05/31/06 00:00:00"	"06/15/06 00:00:00"					
"375/2549"	"ข้อเท็จจริง"	"05/31/06 00:00:00"	"06/15/06 00:00:00"					
"848/2548"	"ข้อเท็จจริง"	"05/31/06 00:00:00"	"06/15/06 00:00:00"					
"2906/2547"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"530/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1749/2548"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"298/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"465/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1164/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1245/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1006/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"2779/2548"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1355/2547"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1902/2548"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"932/2549"	"ข้อเท็จจริง"	"06/07/06 00:00:00"	"06/22/06 00:00:00"					
"1214/2545"	"ข้อเท็จจริง"	"06/19/06 00:00:00"	"07/04/06 00:00:00"					
"2257/2548"	"ข้อเท็จจริง"	"06/19/06 00:00:00"	"07/04/06 00:00:00"					
"ว.1119/2549"	"ข้อเท็จจริง"	"06/19/06 00:00:00"	"07/04/06 00:00:00"					
"1463/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"1211/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"1769/2548"	"อุทธรณ์คำสั่งไม่รับฎีกา"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"992/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"299/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"1829/2548"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"06/12/06 00:00:00"					
"1535/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"3097/2548"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"515/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"2008/2548"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"1093/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"633/2547"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"582/2548"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1405/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1593/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1060/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"921/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1492/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"3016/2548"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1480/2548"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1039/2546"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"1013/2549"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"2114/2546"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"3476/2546"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"750/2547"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"997/2547"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1017/2547"	"ข้อเท็จริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"2728/2547"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"638/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1369/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1490/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"2103/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"2256/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"3054/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"3195/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"3368/2548"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"844/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"911/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
